Price,Close,High,Low,Open,Volume
Ticker,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
Date,,,,,
2007-10-05,32.38557052612305,35.25069620600811,26.767993469907726,28.90878995513679,855215656
2007-10-08,30.727663040161133,33.480114477967994,30.534507710663725,33.480114477967994,126671715
2007-10-09,32.82017135620117,33.109902182328575,29.085850801739035,30.74375909726689,116725709
2007-10-10,33.12600326538086,33.80204486122549,32.83627240041195,33.67327388987095,67931378
2007-10-11,36.828128814697266,38.63090483962656,32.83627042359523,38.63090483962656,106320954
2007-10-12,36.58668518066406,37.95486273117044,35.73358711068223,36.05551124021314,99410791
2007-10-15,37.069580078125,37.56856521587449,36.747655873012995,37.3432165257455,41814972
2007-10-16,40.852176666259766,41.49602924077963,36.86031864903732,37.117856185745175,138614496
2007-10-17,44.03923034667969,45.069384896307255,34.15615607250487,36.69935789450386,204876259
2007-10-18,42.49399185180664,48.11156939705015,40.67512147794027,44.74746065357477,146617799
2007-10-19,42.34912872314453,44.07142361339064,40.24052314796228,41.52821960924905,110266491
2007-10-22,41.785762786865234,43.08955374685492,40.401486429232264,41.4960319475759,72253405
2007-10-23,44.763553619384766,45.16595870988109,42.81591036155777,42.81591036155777,74594921
2007-10-24,44.07143020629883,46.19613055854366,43.57244513307889,45.71323994694737,63055170
2007-10-25,43.97484588623047,45.00500485164343,38.84015425191117,42.5744750435638,34522489
2007-10-26,45.29475021362305,46.019079740291254,43.54026139136486,44.74747726914521,62370025
2007-10-29,46.21221923828125,47.322859209879695,45.80981408427824,46.03516271707007,43657697
2007-10-30,47.24238204956055,48.513979820564494,45.45570039958244,46.839976862589225,79921711
2007-10-31,48.22425079345703,49.28660314729394,47.322864886906835,47.48382696781765,44655368
2007-11-01,47.145816802978516,49.7855973945558,46.7595103235326,49.41538538102873,50632492
2007-11-02,47.998905181884766,48.28864043902508,45.06939424998914,45.439610552695946,32001693
2007-11-05,48.980770111083984,50.05921685301193,47.67697472467834,47.966709943685544,38833135
2007-11-06,49.62460708618164,52.763366735148516,48.94856567312924,49.833856856171174,81880281
2007-11-07,48.900291442871094,51.25033603130588,47.80575018752306,50.542105509081054,33593141
2007-11-08,48.06327819824219,49.36707338822758,47.00093044317995,47.64477862597523,27990521
2007-11-12,49.22220993041992,50.09140679667139,45.343021683779455,46.61462369804081,35153735
2007-11-13,50.397239685058594,51.411299937604646,48.46569468349432,50.05922105633523,43830531
2007-11-14,49.73729705810547,51.990766234240375,49.47975510386447,51.28253131804759,36738579
2007-11-15,50.57429122924805,51.45958252432335,49.624613366162656,50.670866714888014,29242252
2007-11-16,50.220176696777344,51.36300559619937,49.640710650825355,50.34894547375265,18895294
2007-11-19,52.03905487060547,53.92231215880058,50.976706844636965,51.36301323300003,40716718
2007-11-20,51.2342414855957,53.27846074278146,50.606487636899615,51.82980204552199,26342171
2007-11-21,47.24238204956055,51.8458956419622,46.099548698736555,51.54007031968943,26814499
2007-11-22,45.616661071777344,48.64275147785787,43.63682848602828,46.74339556065289,34096185
2007-11-23,48.64276885986328,48.93249981583147,45.906408328407515,48.61057556111634,27664090
2007-11-26,49.02904510498047,50.44551007878759,48.64273885741914,50.44551007878759,20159123
2007-11-27,47.82184982299805,49.866069304736214,47.322869074569425,49.866069304736214,20573198
2007-11-28,47.11360549926758,49.09344236950106,46.79168137290447,48.86809373449672,16435311
2007-11-29,45.84200668334961,48.54616840447756,45.24644619106912,48.288630856322634,25530967
2007-11-30,47.612586975097656,47.90231779400873,46.03515974647063,46.67900795132861,18437721
2007-12-03,48.28863525390625,48.88419580042367,47.82184349319311,48.19205538977128,16851227
2007-12-04,47.66086959838867,49.012952429926166,47.306752250474126,48.610547345108415,14008727
2007-12-05,49.56022644042969,49.73728731799183,47.64478063564469,47.74135612058759,27725290
2007-12-06,48.64276885986328,51.3952194911268,48.015014816617914,50.63869661927081,24104710
2007-12-07,48.43351364135742,49.64072957261496,47.56432079067823,48.94859331196938,11742386
2007-12-10,48.48179626464844,49.077352514181285,47.854042356943395,48.90029595886766,8330010
2007-12-11,48.2564582824707,49.19003775318581,48.01501509005936,48.916401261844186,11685950
2007-12-12,48.22425079345703,48.65884928519141,47.322864886906835,47.64478904872846,16342131
2007-12-13,47.41944122314453,48.93248655687527,47.24238467757807,48.288638221904904,14620172
2007-12-14,46.95265197753906,47.69308022269544,46.71120883884428,47.2584816997696,10991851
2007-12-17,44.11971664428711,47.4838257990707,43.4597695089709,47.22628385612689,19355678
2007-12-18,43.92655944824219,45.39131254089077,42.55838185118833,43.62072976823285,21607783
2007-12-19,43.121742248535156,45.729328245593685,42.751530419050745,45.343017591816526,19526912
2007-12-20,42.68714904785156,44.039232134188076,42.49399369746414,43.68511471954037,17105204
2007-12-24,43.99093246459961,44.683068280042775,42.976868241518005,43.330985560183464,16711519
2007-12-26,45.32693862915039,45.874211514693656,44.23239722444028,44.23239722444028,20930094
2007-12-27,45.64885330200195,46.90435654440217,45.262542596782424,46.26050827995329,44565277
2007-12-28,46.002967834472656,46.19612317496375,45.06938441649492,45.55227058453504,18354518
2007-12-31,46.340999603271484,46.61463604969977,45.777632246780044,46.357098433282836,11982308
2008-01-01,47.194091796875,47.6286902892337,46.1478382694517,46.5824367618104,16687746
2008-01-02,46.93655776977539,47.54821285118241,46.24442164169965,47.1940953725648,13437280
2008-01-03,48.86809158325195,49.06124692384192,46.08344888607014,46.64681608240534,31815218
2008-01-04,48.61054992675781,50.22017035151388,48.28862584180659,49.57632218161145,28011310
2008-01-07,48.20815658569336,49.31879232999904,47.693077050792105,48.30473208819789,15858063
2008-01-08,46.56635284423828,48.93249684606613,46.002985432678166,48.25645507891862,13282666
2008-01-09,45.82591247558594,46.82387821641032,45.713238149522965,46.61462839165095,13113527
2008-01-10,44.73136520385742,47.3228568883294,44.42553555526829,46.035160458691195,18023003
2008-01-11,45.40741729736328,45.84201581704376,43.62073546453823,45.34303071430833,11629440
2008-01-14,46.099552154541016,46.58243841510566,44.763567706920696,45.48789709776767,10264240
2008-01-15,44.69917678833008,47.03312682125555,44.32896489776186,46.83997582887257,11558334
2008-01-16,43.78169631958008,44.74746883987775,42.671060541063376,44.377256913705516,14834065
2008-01-17,44.95673370361328,45.95469975111747,43.00908937279217,43.94266882379528,16169395
2008-01-18,42.86421203613281,44.63479482964799,42.49399577711548,44.58650271490614,13254156
2008-01-21,35.5726318359375,42.49400194198706,30.985209931297906,42.49400194198706,33202389
2008-01-22,31.9992618560791,33.80203760240221,25.415912582058745,32.0636462363362,58755707
2008-01-23,35.5726318359375,36.940809647598456,32.51435202163653,32.51435202163653,28425991
2008-01-24,35.653106689453125,38.18021202286468,33.96300498044468,37.488076005783945,29911930
2008-01-25,37.488075256347656,37.66513178053493,35.97503010531385,37.34320765192139,12550722
2008-01-28,37.890472412109375,38.180203193375924,33.96299712621982,36.97298796611985,13601109
2008-01-29,37.262733459472656,38.53433574745335,36.69936613099093,37.98706288180631,7679877
2008-01-30,35.20241165161133,37.50416820518528,34.73561993737856,37.34320614736367,9016102
2008-01-31,32.900657653808594,35.669206320392696,32.51434909603098,35.572628635151304,41538563
2008-02-01,34.043487548828125,34.28493066099888,33.15819613753535,33.464023642980735,9089201
2008-02-04,35.7979736328125,36.21647546277478,34.68733575639602,34.68733575639602,12009385
2008-02-05,36.908607482910156,37.39149365329963,35.08973711438489,35.862354113732984,14593303
2008-02-06,36.58668518066406,37.02128362880588,34.5424682680554,35.894549175447686,12429218
2008-02-07,34.86438751220703,37.327108067941936,34.63904108974965,36.08769946964521,11300078
2008-02-08,33.96299743652344,35.379462442837216,33.335243766064984,35.08973165892353,13514197
